index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_qw,base_qx,base_qy,base_qz
141,2820.004,1787268343826.925,169425104.222,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
142,2840.000,1787268343846.921,169425124.219,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
143,2860.000,1787268343866.921,169425144.218,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
144,2879.992,1787268343886.913,169425164.210,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
145,2899.996,1787268343906.917,169425184.214,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
146,2920.007,1787268343926.928,169425204.226,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
147,2939.992,1787268343946.913,169425224.210,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
148,2959.999,1787268343966.920,169425244.218,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
149,2980.005,1787268343986.926,169425264.223,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
150,2999.995,1787268344006.916,169425284.213,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
151,3019.997,1787268344026.918,169425304.215,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
152,3039.997,1787268344046.918,169425324.215,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
153,3060.000,1787268344066.921,169425344.218,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
154,3079.990,1787268344086.911,169425364.209,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
155,3100.100,1787268344107.021,169425384.318,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
156,3119.997,1787268344126.918,169425404.215,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
157,3139.997,1787268344146.918,169425424.215,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
158,3160.003,1787268344166.925,169425444.222,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
159,3179.989,1787268344186.910,169425464.208,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
160,3200.003,1787268344206.924,169425484.221,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
161,3220.005,1787268344226.926,169425504.224,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
162,3239.997,1787268344246.918,169425524.216,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
163,3260.004,1787268344266.925,169425544.223,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
164,3279.998,1787268344286.919,169425564.216,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
165,3300.003,1787268344306.924,169425584.222,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
166,3319.995,1787268344326.916,169425604.213,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
167,3340.006,1787268344346.927,169425624.224,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
168,3359.993,1787268344366.915,169425644.212,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
169,3379.990,1787268344386.911,169425664.208,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
170,3400.002,1787268344406.923,169425684.221,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
171,3420.001,1787268344426.922,169425704.220,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
172,3439.999,1787268344446.920,169425724.217,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
173,3460.009,1787268344466.930,169425744.227,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
174,3479.996,1787268344486.917,169425764.215,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
175,3499.999,1787268344506.920,169425784.217,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
176,3519.997,1787268344526.918,169425804.215,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
177,3540.005,1787268344546.926,169425824.223,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
178,3559.994,1787268344566.916,169425844.213,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
179,3579.992,1787268344586.913,169425864.210,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
180,3599.999,1787268344606.920,169425884.217,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
181,3619.998,1787268344626.919,169425904.216,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
182,3639.998,1787268344646.919,169425924.217,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
183,3659.990,1787268344666.911,169425944.208,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
184,3680.002,1787268344686.923,169425964.221,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
185,3700.003,1787268344706.925,169425984.222,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
186,3720.000,1787268344726.922,169426004.219,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
187,3740.003,1787268344746.924,169426024.221,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
188,3759.995,1787268344766.916,169426044.213,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
189,3780.003,1787268344786.925,169426064.222,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
190,3799.991,1787268344806.912,169426084.210,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
191,3819.997,1787268344826.918,169426104.215,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
192,3839.995,1787268344846.916,169426124.214,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
193,3860.004,1787268344866.925,169426144.222,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
194,3880.004,1787268344886.925,169426164.222,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
195,3900.002,1787268344906.923,169426184.220,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
196,3920.004,1787268344926.925,169426204.222,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
197,3940.002,1787268344946.923,169426224.221,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
198,3959.995,1787268344966.916,169426244.213,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
199,3980.000,1787268344986.921,169426264.218,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
200,3999.994,1787268345006.916,169426284.213,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
201,4020.003,1787268345026.924,169426304.222,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
202,4039.998,1787268345046.919,169426324.216,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
203,4060.002,1787268345066.923,169426344.221,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
204,4079.990,1787268345086.911,169426364.208,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
205,4100.005,1787268345106.926,169426384.223,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
206,4120.000,1787268345126.921,169426404.218,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
207,4139.994,1787268345146.915,169426424.212,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
208,4160.004,1787268345166.925,169426444.223,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
209,4180.001,1787268345186.922,169426464.219,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
210,4200.001,1787268345206.922,169426484.219,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
211,4219.993,1787268345226.914,169426504.211,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
212,4240.003,1787268345246.924,169426524.221,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
213,4260.006,1787268345266.927,169426544.224,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
214,4280.003,1787268345286.925,169426564.222,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
215,4300.001,1787268345306.922,169426584.219,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
216,4319.993,1787268345326.915,169426604.212,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
217,4339.991,1787268345346.912,169426624.209,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
218,4359.997,1787268345366.918,169426644.215,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
219,4380.004,1787268345386.925,169426664.222,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
220,4400.001,1787268345406.922,169426684.220,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
221,4419.991,1787268345426.912,169426704.209,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
222,4439.996,1787268345446.917,169426724.215,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
223,4459.995,1787268345466.917,169426744.214,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
224,4479.997,1787268345486.918,169426764.215,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
225,4499.988,1787268345506.909,169426784.207,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
226,4520.000,1787268345526.921,169426804.219,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
227,4540.002,1787268345546.923,169426824.220,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
228,4559.999,1787268345566.920,169426844.217,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
229,4579.998,1787268345586.919,169426864.216,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
230,4600.000,1787268345606.921,169426884.218,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
231,4619.993,1787268345626.914,169426904.212,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
232,4639.995,1787268345646.916,169426924.213,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
