index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,torso_qw,torso_qx,torso_qy,torso_qz
1587,31739.998,1787268372746.919,169454024.217,0.000000000,0.676785350,-0.022313720,0.735554934,0.020554673
1588,31759.999,1787268372766.920,169454044.217,0.000000000,0.676789582,-0.022311728,0.735551119,0.020558966
1589,31779.999,1787268372786.920,169454064.217,0.000000000,0.676785588,-0.022317823,0.735554755,0.020554215
1590,31799.999,1787268372806.920,169454084.218,0.000000000,0.676786304,-0.022318693,0.735554099,0.020553252
1591,31820.000,1787268372826.921,169454104.219,0.000000000,0.676786363,-0.022324720,0.735553920,0.020549849
1592,31839.990,1787268372846.911,169454124.209,0.000000000,0.676795244,-0.022326544,0.735545933,0.020543376
1593,31859.990,1787268372866.911,169454144.208,0.000000000,0.676803052,-0.022317519,0.735538900,0.020547280
1594,31879.992,1787268372886.913,169454164.210,0.000000000,0.676803708,-0.022322243,0.735538185,0.020543152
1595,31899.993,1787268372906.914,169454184.211,0.000000000,0.676805317,-0.022320425,0.735536754,0.020541156
1596,31919.998,1787268372926.919,169454204.216,0.000000000,0.676801145,-0.022322366,0.735540688,0.020538965
1597,31940.001,1787268372946.922,169454224.219,0.000000000,0.676801324,-0.022320257,0.735540569,0.020539505
1598,31959.999,1787268372966.920,169454244.217,0.000000000,0.676807046,-0.022308100,0.735535324,0.020551629
1599,31979.998,1787268372986.920,169454264.217,0.000000000,0.676810145,-0.022307402,0.735532522,0.020550072
1600,31999.992,1787268373006.913,169454284.210,0.000000000,0.676812649,-0.022307919,0.735530257,0.020548020
1601,32019.998,1787268373026.919,169454304.216,0.000000000,0.676807046,-0.022320855,0.735535145,0.020539075
1602,32039.997,1787268373046.918,169454324.215,0.000000000,0.676804006,-0.022305191,0.735538304,0.020551581
1603,32059.989,1787268373066.910,169454344.207,0.000000000,0.676801562,-0.022310080,0.735540330,0.020548990
1604,32079.993,1787268373086.915,169454364.212,0.000000000,0.676805794,-0.022296356,0.735536516,0.020561993
1605,32099.987,1787268373106.908,169454384.205,0.000000000,0.676804900,-0.022306096,0.735537410,0.020551514
1606,32119.987,1787268373126.908,169454404.206,0.000000000,0.676805139,-0.022312181,0.735537112,0.020545641
1607,32139.988,1787268373146.909,169454424.207,0.000000000,0.676804125,-0.022319708,0.735538065,0.020537779
1608,32160.001,1787268373166.922,169454444.219,0.000000000,0.676805854,-0.022311756,0.735536695,0.020541927
1609,32179.999,1787268373186.920,169454464.217,0.000000000,0.676805913,-0.022309739,0.735536575,0.020542452
1610,32200.029,1787268373206.949,169454484.247,0.000000000,0.676812053,-0.022314224,0.735530913,0.020536009
